team1,team2,toss_winner,toss_decision,winner,player_of_match,venue,city,team1_players,team2_players,season,match_number,match_type,result,result_margin,target_runs,target_overs,super_over
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,M Vijay,"MA Chidambaram Stadium, Chepauk",Chennai,"M Vijay, ML Hayden, SK Raina, JA Morkel, MS Dhoni, S Badrinath, S Anirudha, M Muralitharan, SB Jakati, DE Bollinger, S Tyagi","MJ Lumb, NV Ojha, YK Pathan, SR Watson, FY Fazal, AA Jhunjhunwala, AS Raut, S Narwal, SB Wagh, SK Warne, SW Tait",3,33,League,runs,63.0,179.0,20.0,N
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab,DPMD Jayawardene,Eden Gardens,Kolkata,"SC Ganguly, CH Gayle, MK Tiwary, AD Mathews, DJ Hussey, CA Pujara, WP Saha, AB Agarkar, M Kartik, SE Bond, JD Unadkat","MS Bisla, DPMD Jayawardene, KC Sangakkara, Yuvraj Singh, RS Bopara, IK Pathan, J Theron, PP Chawla, SJ Srivastava, Bipul Sharma, RR Powar",3,34,League,wickets,8.0,201.0,20.0,N
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,SK Raina,"MA Chidambaram Stadium, Chepauk",Chennai,"M Vijay, ML Hayden, SK Raina, MS Dhoni, MEK Hussey, S Badrinath, R Ashwin, SB Jakati, DE Bollinger, S Tyagi, T Thushara","S Dhawan, SR Tendulkar, SS Tiwary, AT Rayudu, DJ Bravo, KA Pollard, R Sathish, R McLaren, Harbhajan Singh, AN Ahmed, SL Malinga",3,37,League,runs,24.0,166.0,20.0,N
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,MJ Lumb,Sawai Mansingh Stadium,Jaipur,"MJ Lumb, NV Ojha, YK Pathan, SR Watson, FY Fazal, AA Jhunjhunwala, AC Voges, AS Raut, SK Warne, SK Trivedi, AP Dole","MS Bisla, DPMD Jayawardene, KC Sangakkara, Yuvraj Singh, IK Pathan, RS Bopara, PP Chawla, Bipul Sharma, J Theron, S Sreesanth, RR Powar",3,38,League,wickets,9.0,154.0,20.0,N
Kings XI Punjab,Mumbai Indians,Mumbai Indians,bat,Kings XI Punjab,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"AB Barath, DPMD Jayawardene, KC Sangakkara, Yuvraj Singh, IK Pathan, RS Sodhi, K Goel, PP Chawla, RR Powar, B Lee, L Ablish","S Dhawan, SR Tendulkar, AT Rayudu, SS Tiwary, JP Duminy, R Sathish, KA Pollard, Harbhajan Singh, R McLaren, Z Khan, SL Malinga",3,41,League,wickets,6.0,155.0,20.0,N
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,R Vinay Kumar,M Chinnaswamy Stadium,Bangalore,"S Sriram, JH Kallis, R Dravid, RV Uthappa, LRPL Taylor, CL White, V Kohli, R Vinay Kumar, P Kumar, A Kumble, DW Steyn","SC Ganguly, CH Gayle, BB McCullum, MK Tiwary, AD Mathews, WP Saha, CA Pujara, AB Agarkar, AB Dinda, I Sharma, BAW Mendis",3,43,League,wickets,7.0,161.0,20.0,N
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Mumbai Indians,SR Tendulkar,Sawai Mansingh Stadium,Jaipur,"MJ Lumb, NV Ojha, FY Fazal, SR Watson, AA Jhunjhunwala, AC Voges, YK Pathan, AS Raut, AP Dole, SK Warne, SK Trivedi","ST Jayasuriya, SR Tendulkar, AT Rayudu, SS Tiwary, JP Duminy, KA Pollard, R Sathish, DS Kulkarni, Harbhajan Singh, SL Malinga, Z Khan",3,45,League,runs,37.0,175.0,20.0,N
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,R Ashwin,"MA Chidambaram Stadium, Chepauk",Chennai,"M Vijay, ML Hayden, SK Raina, S Anirudha, MS Dhoni, S Badrinath, JA Morkel, R Ashwin, SB Jakati, M Muralitharan, DE Bollinger","SC Ganguly, CH Gayle, BB McCullum, MK Tiwary, DJ Hussey, AD Mathews, WP Saha, LR Shukla, AB Agarkar, Iqbal Abdulla, AB Dinda",3,47,League,runs,39.0,184.0,20.0,N
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,KP Pietersen,Sawai Mansingh Stadium,Jaipur,"MJ Lumb, NV Ojha, AG Paunikar, SR Watson, AA Jhunjhunwala, YK Pathan, AC Voges, AS Raut, Kamran Khan, SK Warne, SK Trivedi","MK Pandey, JH Kallis, KP Pietersen, RV Uthappa, V Kohli, LRPL Taylor, R Dravid, R Vinay Kumar, Pankaj Singh, A Kumble, DW Steyn",3,49,League,wickets,5.0,131.0,20.0,N
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,R McLaren,M Chinnaswamy Stadium,Bangalore,"MK Pandey, JH Kallis, KP Pietersen, R Dravid, RV Uthappa, LRPL Taylor, V Kohli, DW Steyn, R Vinay Kumar, Pankaj Singh, A Kumble","R McLaren, SR Tendulkar, AT Rayudu, KA Pollard, JP Duminy, AM Nayar, SS Tiwary, AP Tare, Harbhajan Singh, Z Khan, CRD Fernando",3,52,League,runs,57.0,192.0,20.0,N
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Kolkata Knight Riders,JD Unadkat,Eden Gardens,Kolkata,"SC Ganguly, BB McCullum, CH Gayle, CA Pujara, MK Tiwary, AD Mathews, LR Shukla, JD Unadkat, M Kartik, AB Dinda, SE Bond","SR Watson, NV Ojha, YK Pathan, AJ Finch, AC Voges, AS Raut, P Dogra, FY Fazal, SK Warne, SK Trivedi, Kamran Khan",3,53,League,wickets,8.0,133.0,20.0,N
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,MS Dhoni,Himachal Pradesh Cricket Association Stadium,Dharamsala,"DPMD Jayawardene, SE Marsh, KC Sangakkara, Yuvraj Singh, IK Pathan, K Goel, J Theron, RR Powar, PP Chawla, S Sohal, VRV Singh","M Vijay, ML Hayden, SK Raina, S Badrinath, MS Dhoni, JA Morkel, JM Kemp, R Ashwin, SB Jakati, DE Bollinger, S Tyagi",3,55,League,runs,11.0,146.0,20.0,N
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Kolkata Knight Riders,M Kartik,Eden Gardens,Kolkata,"SC Ganguly, BB McCullum, DJ Hussey, MK Tiwary, AD Mathews, CA Pujara, WP Saha, JD Unadkat, M Kartik, AB Dinda, SE Bond","AP Tare, S Dhawan, SS Tiwary, JP Duminy, R Sathish, DJ Bravo, AT Rayudu, STR Binny, R McLaren, AG Murtaza, CRD Fernando",3,56,League,wickets,9.0,134.0,20.0,N
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,KA Pollard,Dr DY Patil Sports Academy,Mumbai,"JH Kallis, R Dravid, KP Pietersen, RV Uthappa, LRPL Taylor, V Kohli, MK Pandey, P Kumar, R Vinay Kumar, DW Steyn, A Kumble","S Dhawan, SR Tendulkar, AM Nayar, AT Rayudu, JP Duminy, SS Tiwary, KA Pollard, Harbhajan Singh, Z Khan, CRD Fernando, SL Malinga",3,57,Semi Final,runs,35.0,185.0,20.0,N
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,SK Raina,Dr DY Patil Sports Academy,Mumbai,"M Vijay, ML Hayden, SK Raina, S Badrinath, MS Dhoni, JA Morkel, S Anirudha, R Ashwin, SB Jakati, DE Bollinger, M Muralitharan","S Dhawan, SR Tendulkar, AM Nayar, Harbhajan Singh, AT Rayudu, SS Tiwary, JP Duminy, KA Pollard, Z Khan, SL Malinga, CRD Fernando",3,60,Final,runs,22.0,169.0,20.0,N
