team1,team2,toss_winner,toss_decision,winner,player_of_match,venue,city,team1_players,team2_players,season,match_number,match_type,result,result_margin,target_runs,target_overs,super_over
Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,SR Watson,Arun Jaitley Stadium,Delhi,"PP Shaw, S Dhawan, SS Iyer, RR Pant, CA Ingram, KMA Paul, AR Patel, R Tewatia, K Rabada, I Sharma, A Mishra","SR Watson, AT Rayudu, SK Raina, KM Jadhav, MS Dhoni, DJ Bravo, RA Jadeja, DL Chahar, SN Thakur, Harbhajan Singh, Imran Tahir",12,5,League,wickets,6.0,148.0,20.0,N
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,AD Russell,Eden Gardens,Kolkata,"CA Lynn, SP Narine, RV Uthappa, N Rana, AD Russell, KD Karthik, Shubman Gill, PP Chawla, Kuldeep Yadav, M Prasidh Krishna, LH Ferguson","KL Rahul, CH Gayle, MA Agarwal, SN Khan, DA Miller, Mandeep Singh, R Ashwin, GC Viljoen, CV Varun, Mohammed Shami, AJ Tye",12,6,League,runs,28.0,219.0,20.0,N
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,JJ Bumrah,M.Chinnaswamy Stadium,Bengaluru,"Q de Kock, RG Sharma, SA Yadav, Yuvraj Singh, KA Pollard, KH Pandya, HH Pandya, MJ McClenaghan, M Markande, JJ Bumrah, SL Malinga","PA Patel, MM Ali, V Kohli, AB de Villiers, SO Hetmyer, C de Grandhomme, S Dube, Navdeep Saini, YS Chahal, UT Yadav, Mohammed Siraj",12,7,League,runs,6.0,188.0,20.0,N
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,Rashid Khan,Rajiv Gandhi International Stadium,Hyderabad,"AM Rahane, JC Buttler, SV Samson, BA Stokes, SPD Smith, RA Tripathi, K Gowtham, JC Archer, JD Unadkat, S Gopal, DS Kulkarni","DA Warner, JM Bairstow, KS Williamson, V Shankar, MK Pandey, YK Pathan, Rashid Khan, B Kumar, Sandeep Sharma, S Kaul, S Nadeem",12,8,League,wickets,5.0,199.0,20.0,N
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,MA Agarwal,Punjab Cricket Association IS Bindra Stadium,Chandigarh,"RG Sharma, Q de Kock, SA Yadav, Yuvraj Singh, KA Pollard, HH Pandya, KH Pandya, MJ McClenaghan, M Markande, SL Malinga, JJ Bumrah","KL Rahul, CH Gayle, MA Agarwal, DA Miller, SN Khan, Mandeep Singh, R Ashwin, GC Viljoen, M Ashwin, Mohammed Shami, AJ Tye",12,10,League,tie,,186.0,20.0,Y
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,MS Dhoni,MA Chidambaram Stadium,Chennai,"AT Rayudu, SR Watson, SK Raina, KM Jadhav, MS Dhoni, DJ Bravo, RA Jadeja, DL Chahar, SN Thakur, MJ Santner, Imran Tahir","AM Rahane, JC Buttler, SV Samson, RA Tripathi, SPD Smith, BA Stokes, K Gowtham, JC Archer, S Gopal, JD Unadkat, DS Kulkarni",12,11,League,runs,118.0,232.0,20.0,N
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,JM Bairstow,Rajiv Gandhi International Stadium,Hyderabad,"JM Bairstow, DA Warner, V Shankar, YK Pathan, MK Pandey, DJ Hooda, Mohammad Nabi, Rashid Khan, B Kumar, Sandeep Sharma, S Kaul","PA Patel, SO Hetmyer, V Kohli, AB de Villiers, MM Ali, S Dube, C de Grandhomme, P Ray Barman, UT Yadav, Mohammed Siraj, YS Chahal",12,12,League,runs,8.0,176.0,20.0,N
Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Kings XI Punjab,SM Curran,Punjab Cricket Association IS Bindra Stadium,Chandigarh,"KL Rahul, SM Curran, MA Agarwal, SN Khan, DA Miller, Mandeep Singh, GC Viljoen, R Ashwin, M Ashwin, Mohammed Shami, Mujeeb Ur Rahman","PP Shaw, S Dhawan, SS Iyer, RR Pant, CA Ingram, CH Morris, GH Vihari, HV Patel, K Rabada, Avesh Khan, S Lamichhane",12,13,League,runs,14.0,167.0,20.0,N
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,S Gopal,Sawai Mansingh Stadium,Jaipur,"V Kohli, PA Patel, AB de Villiers, SO Hetmyer, MP Stoinis, MM Ali, AD Nath, UT Yadav, Navdeep Saini, YS Chahal, Mohammed Siraj","AM Rahane, JC Buttler, SPD Smith, RA Tripathi, BA Stokes, STR Binny, K Gowtham, JC Archer, S Gopal, VR Aaron, DS Kulkarni",12,14,League,wickets,7.0,159.0,20.0,N
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,HH Pandya,Wankhede Stadium,Mumbai,"Q de Kock, RG Sharma, SA Yadav, Yuvraj Singh, KH Pandya, HH Pandya, KA Pollard, JP Behrendorff, RD Chahar, SL Malinga, JJ Bumrah","SR Watson, AT Rayudu, SK Raina, KM Jadhav, MS Dhoni, RA Jadeja, DJ Bravo, DL Chahar, SN Thakur, MM Sharma, Imran Tahir",12,15,League,runs,37.0,171.0,20.0,N
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,JM Bairstow,Arun Jaitley Stadium,Delhi,"PP Shaw, S Dhawan, SS Iyer, RR Pant, R Tewatia, CA Ingram, CH Morris, AR Patel, K Rabada, I Sharma, S Lamichhane","DA Warner, JM Bairstow, V Shankar, MK Pandey, DJ Hooda, YK Pathan, Mohammad Nabi, Rashid Khan, B Kumar, Sandeep Sharma, S Kaul",12,16,League,wickets,5.0,130.0,20.0,N
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,AD Russell,M.Chinnaswamy Stadium,Bengaluru,"PA Patel, V Kohli, AB de Villiers, MP Stoinis, MM Ali, AD Nath, P Negi, Navdeep Saini, TG Southee, YS Chahal, Mohammed Siraj","CA Lynn, SP Narine, RV Uthappa, N Rana, KD Karthik, AD Russell, Shubman Gill, PP Chawla, Kuldeep Yadav, M Prasidh Krishna, LH Ferguson",12,17,League,wickets,5.0,206.0,20.0,N
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,AS Joseph,Rajiv Gandhi International Stadium,Hyderabad,"RG Sharma, Q de Kock, SA Yadav, Ishan Kishan, KH Pandya, KA Pollard, HH Pandya, RD Chahar, AS Joseph, JP Behrendorff, JJ Bumrah","DA Warner, JM Bairstow, V Shankar, MK Pandey, DJ Hooda, YK Pathan, Mohammad Nabi, Rashid Khan, B Kumar, S Kaul, Sandeep Sharma",12,18,League,runs,22.0,161.0,20.0,N
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,Harbhajan Singh,MA Chidambaram Stadium,Chennai,"SR Watson, F du Plessis, SK Raina, MS Dhoni, AT Rayudu, KM Jadhav, SC Kuggeleijn, RA Jadeja, Harbhajan Singh, DL Chahar, Imran Tahir","KL Rahul, CH Gayle, MA Agarwal, SN Khan, DA Miller, Mandeep Singh, SM Curran, R Ashwin, Mohammed Shami, AJ Tye, M Ashwin",12,19,League,runs,40.0,137.0,20.0,N
Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,K Rabada,M.Chinnaswamy Stadium,Bengaluru,"PA Patel, V Kohli, AB de Villiers, MP Stoinis, MM Ali, AD Nath, P Negi, TG Southee, Mohammed Siraj, YS Chahal, Navdeep Saini","PP Shaw, S Dhawan, SS Iyer, CA Ingram, RR Pant, CH Morris, AR Patel, R Tewatia, K Rabada, I Sharma, S Lamichhane",12,20,League,wickets,4.0,150.0,20.0,N
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,HF Gurney,Sawai Mansingh Stadium,Jaipur,"AM Rahane, JC Buttler, SPD Smith, RA Tripathi, BA Stokes, P Chopra, K Gowtham, JC Archer, S Gopal, S Midhun, DS Kulkarni","CA Lynn, SP Narine, RV Uthappa, Shubman Gill, N Rana, KD Karthik, AD Russell, PP Chawla, Kuldeep Yadav, HF Gurney, M Prasidh Krishna",12,21,League,wickets,8.0,140.0,20.0,N
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,KL Rahul,Punjab Cricket Association IS Bindra Stadium,Chandigarh,"DA Warner, JM Bairstow, V Shankar, Mohammad Nabi, MK Pandey, DJ Hooda, YK Pathan, Rashid Khan, B Kumar, S Kaul, Sandeep Sharma","KL Rahul, CH Gayle, MA Agarwal, DA Miller, Mandeep Singh, SM Curran, SN Khan, R Ashwin, Mohammed Shami, Mujeeb Ur Rahman, AS Rajpoot",12,22,League,wickets,6.0,151.0,20.0,N
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,DL Chahar,MA Chidambaram Stadium,Chennai,"CA Lynn, SP Narine, RV Uthappa, N Rana, KD Karthik, Shubman Gill, AD Russell, PP Chawla, Kuldeep Yadav, M Prasidh Krishna, HF Gurney","SR Watson, F du Plessis, SK Raina, AT Rayudu, KM Jadhav, MS Dhoni, SC Kuggeleijn, RA Jadeja, Harbhajan Singh, DL Chahar, Imran Tahir",12,23,League,wickets,7.0,109.0,20.0,N
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,KA Pollard,Wankhede Stadium,Mumbai,"KL Rahul, CH Gayle, DA Miller, KK Nair, SM Curran, Mandeep Singh, SN Khan, GC Viljoen, R Ashwin, Mohammed Shami, AS Rajpoot","Q de Kock, SD Lad, SA Yadav, KA Pollard, Ishan Kishan, HH Pandya, KH Pandya, AS Joseph, RD Chahar, JP Behrendorff, JJ Bumrah",12,24,League,wickets,3.0,198.0,20.0,N
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,MS Dhoni,Sawai Mansingh Stadium,Jaipur,"AM Rahane, JC Buttler, SV Samson, SPD Smith, RA Tripathi, BA Stokes, R Parag, JC Archer, S Gopal, JD Unadkat, DS Kulkarni","SR Watson, F du Plessis, SK Raina, AT Rayudu, KM Jadhav, MS Dhoni, RA Jadeja, MJ Santner, DL Chahar, SN Thakur, Imran Tahir",12,25,League,wickets,4.0,152.0,20.0,N
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,S Dhawan,Eden Gardens,Kolkata,"JL Denly, Shubman Gill, RV Uthappa, N Rana, AD Russell, KD Karthik, CR Brathwaite, PP Chawla, Kuldeep Yadav, LH Ferguson, M Prasidh Krishna","PP Shaw, S Dhawan, SS Iyer, RR Pant, CA Ingram, CH Morris, AR Patel, KMA Paul, R Tewatia, K Rabada, I Sharma",12,26,League,wickets,7.0,179.0,20.0,N
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,AB de Villiers,Punjab Cricket Association IS Bindra Stadium,Chandigarh,"KL Rahul, CH Gayle, MA Agarwal, SN Khan, SM Curran, Mandeep Singh, N Pooran, AJ Tye, R Ashwin, Mohammed Shami, M Ashwin","PA Patel, V Kohli, AB de Villiers, MP Stoinis, MM Ali, AD Nath, P Negi, UT Yadav, Mohammed Siraj, YS Chahal, Navdeep Saini",12,27,League,wickets,4.0,188.0,20.0,N
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,JC Buttler,Wankhede Stadium,Mumbai,"RG Sharma, Q de Kock, SA Yadav, KA Pollard, HH Pandya, Ishan Kishan, KH Pandya, AS Joseph, RD Chahar, JP Behrendorff, JJ Bumrah","AM Rahane, JC Buttler, SV Samson, SPD Smith, RA Tripathi, LS Livingstone, S Gopal, K Gowtham, JC Archer, JD Unadkat, DS Kulkarni",12,28,League,wickets,8.0,174.0,20.0,N
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,KMA Paul,Rajiv Gandhi International Stadium,Hyderabad,"PP Shaw, S Dhawan, C Munro, SS Iyer, RR Pant, CH Morris, AR Patel, KMA Paul, K Rabada, A Mishra, I Sharma","DA Warner, JM Bairstow, KS Williamson, RK Bhui, V Shankar, DJ Hooda, Abhishek Sharma, Rashid Khan, B Kumar, Sandeep Sharma, KK Ahmed",12,29,League,wickets,5.0,162.0,20.0,N
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Imran Tahir,Eden Gardens,Kolkata,"CA Lynn, SP Narine, N Rana, RV Uthappa, KD Karthik, AD Russell, Shubman Gill, PP Chawla, Kuldeep Yadav, M Prasidh Krishna, HF Gurney","SR Watson, F du Plessis, SK Raina, AT Rayudu, KM Jadhav, MS Dhoni, RA Jadeja, MJ Santner, Imran Tahir, SN Thakur, DL Chahar",12,30,League,runs,39.0,156.0,20.0,N
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,SL Malinga,Wankhede Stadium,Mumbai,"PA Patel, V Kohli, AB de Villiers, MM Ali, MP Stoinis, AD Nath, P Negi, UT Yadav, Mohammed Siraj, YS Chahal, Navdeep Saini","Q de Kock, RG Sharma, SA Yadav, Ishan Kishan, KH Pandya, HH Pandya, KA Pollard, JP Behrendorff, RD Chahar, JJ Bumrah, SL Malinga",12,31,League,wickets,5.0,172.0,20.0,N
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,R Ashwin,Punjab Cricket Association IS Bindra Stadium,Chandigarh,"KL Rahul, CH Gayle, MA Agarwal, DA Miller, N Pooran, Mandeep Singh, R Ashwin, Mujeeb Ur Rahman, Mohammed Shami, M Ashwin, Arshdeep Singh","RA Tripathi, JC Buttler, SV Samson, AM Rahane, AJ Turner, JC Archer, STR Binny, S Gopal, JD Unadkat, DS Kulkarni, IS Sodhi",12,32,League,runs,12.0,183.0,20.0,N
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Sunrisers Hyderabad,DA Warner,Rajiv Gandhi International Stadium,Hyderabad,"SR Watson, F du Plessis, SK Raina, AT Rayudu, KM Jadhav, SW Billings, RA Jadeja, KV Sharma, Imran Tahir, SN Thakur, DL Chahar","DA Warner, JM Bairstow, KS Williamson, V Shankar, DJ Hooda, YK Pathan, Rashid Khan, B Kumar, Sandeep Sharma, S Nadeem, KK Ahmed",12,33,League,wickets,6.0,133.0,20.0,N
Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,HH Pandya,Arun Jaitley Stadium,Delhi,"RG Sharma, Q de Kock, BCJ Cutting, SA Yadav, KH Pandya, HH Pandya, KA Pollard, RD Chahar, J Yadav, JJ Bumrah, SL Malinga","PP Shaw, S Dhawan, C Munro, SS Iyer, RR Pant, AR Patel, CH Morris, KMA Paul, K Rabada, A Mishra, I Sharma",12,34,League,runs,40.0,169.0,20.0,N
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bangalore,V Kohli,Eden Gardens,Kolkata,"PA Patel, V Kohli, AD Nath, MM Ali, MP Stoinis, H Klaasen, P Negi, DW Steyn, Mohammed Siraj, YS Chahal, Navdeep Saini","CA Lynn, SP Narine, Shubman Gill, RV Uthappa, N Rana, AD Russell, KD Karthik, PP Chawla, Kuldeep Yadav, HF Gurney, M Prasidh Krishna",12,35,League,runs,10.0,214.0,20.0,N
Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,SS Iyer,Arun Jaitley Stadium,Delhi,"KL Rahul, CH Gayle, MA Agarwal, DA Miller, Mandeep Singh, SM Curran, R Ashwin, Harpreet Brar, GC Viljoen, M Ashwin, Mohammed Shami","PP Shaw, S Dhawan, SS Iyer, RR Pant, CA Ingram, AR Patel, SE Rutherford, A Mishra, K Rabada, I Sharma, S Lamichhane",12,36,League,wickets,5.0,162.0,20.0,N
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,SPD Smith,Sawai Mansingh Stadium,Jaipur,"Q de Kock, RG Sharma, SA Yadav, HH Pandya, KA Pollard, BCJ Cutting, KH Pandya, RD Chahar, JJ Bumrah, SL Malinga, M Markande","AM Rahane, SV Samson, SPD Smith, BA Stokes, R Parag, AJ Turner, STR Binny, JC Archer, S Gopal, JD Unadkat, DS Kulkarni",12,37,League,wickets,5.0,164.0,20.0,N
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,KK Ahmed,Rajiv Gandhi International Stadium,Hyderabad,"CA Lynn, SP Narine, Shubman Gill, N Rana, KD Karthik, RK Singh, AD Russell, PP Chawla, Y Prithvi Raj, KC Cariappa, HF Gurney","DA Warner, JM Bairstow, KS Williamson, V Shankar, YK Pathan, DJ Hooda, Rashid Khan, B Kumar, S Nadeem, KK Ahmed, Sandeep Sharma",12,38,League,wickets,9.0,160.0,20.0,N
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,PA Patel,M.Chinnaswamy Stadium,Bengaluru,"PA Patel, V Kohli, AB de Villiers, AD Nath, MP Stoinis, MM Ali, P Negi, UT Yadav, DW Steyn, Navdeep Saini, YS Chahal","SR Watson, F du Plessis, SK Raina, AT Rayudu, KM Jadhav, MS Dhoni, RA Jadeja, DJ Bravo, SN Thakur, DL Chahar, Imran Tahir",12,39,League,runs,1.0,162.0,20.0,N
Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,RR Pant,Sawai Mansingh Stadium,Jaipur,"AM Rahane, SV Samson, SPD Smith, BA Stokes, AJ Turner, STR Binny, R Parag, JC Archer, S Gopal, JD Unadkat, DS Kulkarni","PP Shaw, S Dhawan, SS Iyer, RR Pant, SE Rutherford, CA Ingram, AR Patel, CH Morris, A Mishra, K Rabada, I Sharma",12,40,League,wickets,6.0,192.0,20.0,N
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,SR Watson,MA Chidambaram Stadium,Chennai,"DA Warner, JM Bairstow, MK Pandey, V Shankar, YK Pathan, Shakib Al Hasan, DJ Hooda, Rashid Khan, B Kumar, KK Ahmed, Sandeep Sharma","SR Watson, F du Plessis, SK Raina, AT Rayudu, KM Jadhav, DJ Bravo, MS Dhoni, RA Jadeja, Harbhajan Singh, DL Chahar, Imran Tahir",12,41,League,wickets,6.0,176.0,20.0,N
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,AB de Villiers,M.Chinnaswamy Stadium,Bengaluru,"PA Patel, V Kohli, AB de Villiers, MM Ali, AD Nath, MP Stoinis, Washington Sundar, UT Yadav, TG Southee, YS Chahal, Navdeep Saini","KL Rahul, CH Gayle, MA Agarwal, DA Miller, N Pooran, Mandeep Singh, R Ashwin, GC Viljoen, M Ashwin, AS Rajpoot, Mohammed Shami",12,42,League,runs,17.0,203.0,20.0,N
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,VR Aaron,Eden Gardens,Kolkata,"CA Lynn, Shubman Gill, N Rana, KD Karthik, SP Narine, AD Russell, CR Brathwaite, RK Singh, PP Chawla, Y Prithvi Raj, M Prasidh Krishna","AM Rahane, SV Samson, SPD Smith, BA Stokes, R Parag, STR Binny, S Gopal, JC Archer, JD Unadkat, VR Aaron, O Thomas",12,43,League,wickets,3.0,176.0,20.0,N
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,RG Sharma,MA Chidambaram Stadium,Chennai,"RG Sharma, Q de Kock, E Lewis, KH Pandya, HH Pandya, KA Pollard, SA Yadav, AS Roy, RD Chahar, JJ Bumrah, SL Malinga","M Vijay, SR Watson, SK Raina, AT Rayudu, KM Jadhav, DR Shorey, DJ Bravo, MJ Santner, DL Chahar, Harbhajan Singh, Imran Tahir",12,44,League,runs,46.0,156.0,20.0,N
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,JD Unadkat,Sawai Mansingh Stadium,Jaipur,"DA Warner, KS Williamson, MK Pandey, V Shankar, Shakib Al Hasan, DJ Hooda, WP Saha, Rashid Khan, B Kumar, S Kaul, KK Ahmed","AM Rahane, LS Livingstone, SV Samson, SPD Smith, AJ Turner, R Parag, STR Binny, S Gopal, JD Unadkat, VR Aaron, O Thomas",12,45,League,wickets,7.0,161.0,20.0,N
Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,S Dhawan,Arun Jaitley Stadium,Delhi,"PP Shaw, S Dhawan, SS Iyer, RR Pant, CA Ingram, SE Rutherford, AR Patel, S Lamichhane, A Mishra, K Rabada, I Sharma","PA Patel, V Kohli, AB de Villiers, S Dube, H Klaasen, Gurkeerat Singh, MP Stoinis, Washington Sundar, UT Yadav, YS Chahal, Navdeep Saini",12,46,League,runs,16.0,188.0,20.0,N
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,AD Russell,Eden Gardens,Kolkata,"Shubman Gill, CA Lynn, AD Russell, KD Karthik, SP Narine, RV Uthappa, N Rana, RK Singh, PP Chawla, HF Gurney, S Sandeep Warrier","Q de Kock, RG Sharma, E Lewis, SA Yadav, KA Pollard, HH Pandya, KH Pandya, BB Sran, RD Chahar, SL Malinga, JJ Bumrah",12,47,League,runs,34.0,233.0,20.0,N
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,DA Warner,Rajiv Gandhi International Stadium,Hyderabad,"DA Warner, WP Saha, MK Pandey, Mohammad Nabi, KS Williamson, Rashid Khan, V Shankar, Abhishek Sharma, B Kumar, KK Ahmed, Sandeep Sharma","KL Rahul, CH Gayle, MA Agarwal, N Pooran, DA Miller, R Ashwin, P Simran Singh, M Ashwin, Mujeeb Ur Rahman, Mohammed Shami, Arshdeep Singh",12,48,League,runs,45.0,213.0,20.0,N
Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,MS Dhoni,MA Chidambaram Stadium,Chennai,"F du Plessis, SR Watson, SK Raina, MS Dhoni, RA Jadeja, AT Rayudu, KM Jadhav, DJ Bravo, DL Chahar, Harbhajan Singh, Imran Tahir","PP Shaw, S Dhawan, SS Iyer, RR Pant, CA Ingram, AR Patel, SE Rutherford, CH Morris, J Suchith, A Mishra, TA Boult",12,50,League,runs,80.0,180.0,20.0,N
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Shubman Gill,Punjab Cricket Association IS Bindra Stadium,Chandigarh,"CH Gayle, KL Rahul, MA Agarwal, N Pooran, Mandeep Singh, SM Curran, R Ashwin, AJ Tye, Mohammed Shami, M Ashwin, Arshdeep Singh","Shubman Gill, CA Lynn, RV Uthappa, AD Russell, KD Karthik, SP Narine, N Rana, RK Singh, PP Chawla, HF Gurney, S Sandeep Warrier",12,52,League,wickets,7.0,184.0,20.0,N
Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Delhi Capitals,A Mishra,Arun Jaitley Stadium,Delhi,"AM Rahane, LS Livingstone, SV Samson, MK Lomror, S Gopal, R Parag, STR Binny, K Gowtham, IS Sodhi, VR Aaron, O Thomas","PP Shaw, S Dhawan, SS Iyer, RR Pant, CA Ingram, SE Rutherford, AR Patel, KMA Paul, A Mishra, TA Boult, I Sharma",12,53,League,wickets,5.0,116.0,20.0,N
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,SO Hetmyer,M.Chinnaswamy Stadium,Bengaluru,"WP Saha, MJ Guptill, MK Pandey, KS Williamson, V Shankar, YK Pathan, Mohammad Nabi, Rashid Khan, B Kumar, KK Ahmed, Basil Thampi","PA Patel, V Kohli, AB de Villiers, SO Hetmyer, Gurkeerat Singh, C de Grandhomme, Washington Sundar, UT Yadav, K Khejroliya, YS Chahal, Navdeep Saini",12,54,League,wickets,4.0,176.0,20.0,N
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,HH Pandya,Wankhede Stadium,Mumbai,"Shubman Gill, CA Lynn, RV Uthappa, KD Karthik, AD Russell, N Rana, RK Singh, SP Narine, HF Gurney, M Prasidh Krishna, S Sandeep Warrier","Q de Kock, RG Sharma, SA Yadav, Ishan Kishan, HH Pandya, KA Pollard, KH Pandya, RD Chahar, MJ McClenaghan, SL Malinga, JJ Bumrah",12,55,League,wickets,6.0,171.0,20.0,N
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,KL Rahul,Punjab Cricket Association IS Bindra Stadium,Chandigarh,"F du Plessis, SR Watson, SK Raina, MS Dhoni, AT Rayudu, KM Jadhav, DJ Bravo, RA Jadeja, DL Chahar, Harbhajan Singh, Imran Tahir","KL Rahul, CH Gayle, N Pooran, MA Agarwal, Mandeep Singh, SM Curran, R Ashwin, AJ Tye, Mohammed Shami, M Ashwin, Harpreet Brar",12,56,League,wickets,9.0,134.0,20.0,N
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians,SA Yadav,MA Chidambaram Stadium,Chennai,"F du Plessis, SR Watson, SK Raina, M Vijay, AT Rayudu, MS Dhoni, RA Jadeja, DJ Bravo, DL Chahar, Harbhajan Singh, Imran Tahir","RG Sharma, Q de Kock, SA Yadav, Ishan Kishan, KH Pandya, HH Pandya, KA Pollard, J Yadav, RD Chahar, SL Malinga, JJ Bumrah",12,57,Qualifier 1,wickets,6.0,132.0,20.0,N
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,RR Pant,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,"WP Saha, MJ Guptill, MK Pandey, KS Williamson, V Shankar, Mohammad Nabi, DJ Hooda, Rashid Khan, B Kumar, Basil Thampi, KK Ahmed","PP Shaw, S Dhawan, SS Iyer, RR Pant, C Munro, AR Patel, SE Rutherford, KMA Paul, A Mishra, TA Boult, I Sharma",12,58,Eliminator,wickets,2.0,163.0,20.0,N
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,F du Plessis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,"PP Shaw, S Dhawan, C Munro, SS Iyer, RR Pant, AR Patel, SE Rutherford, KMA Paul, A Mishra, TA Boult, I Sharma","F du Plessis, SR Watson, SK Raina, AT Rayudu, MS Dhoni, DJ Bravo, RA Jadeja, DL Chahar, Harbhajan Singh, Imran Tahir, SN Thakur",12,59,Qualifier 2,wickets,6.0,148.0,20.0,N
Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,JJ Bumrah,Rajiv Gandhi International Stadium,Hyderabad,"Q de Kock, RG Sharma, SA Yadav, Ishan Kishan, KH Pandya, KA Pollard, HH Pandya, RD Chahar, MJ McClenaghan, JJ Bumrah, SL Malinga","F du Plessis, SR Watson, SK Raina, AT Rayudu, MS Dhoni, DJ Bravo, RA Jadeja, SN Thakur, DL Chahar, Harbhajan Singh, Imran Tahir",12,60,Final,runs,1.0,150.0,20.0,N
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,AT Rayudu,Sheikh Zayed Stadium,Abu Dhabi,"RG Sharma, Q de Kock, SA Yadav, SS Tiwary, HH Pandya, KA Pollard, KH Pandya, JL Pattinson, RD Chahar, TA Boult, JJ Bumrah","M Vijay, SR Watson, F du Plessis, AT Rayudu, RA Jadeja, SM Curran, MS Dhoni, KM Jadhav, PP Chawla, DL Chahar, L Ngidi",13,1,League,wickets,5.0,163.0,20.0,N
